Date,NVDA
2022-01-03,30.068225860595703
2022-01-04,29.23868179321289
2022-01-05,27.555631637573242
2022-01-06,28.128623962402344
2022-01-07,27.199260711669922
2022-01-10,27.35198974609375
2022-01-11,27.768259048461914
2022-01-12,27.94994354248047
2022-01-13,26.5284366607666
2022-01-14,26.894792556762695
2022-01-18,25.85761070251465
2022-01-19,25.023075103759766
2022-01-20,24.107683181762695
2022-01-21,23.33304786682129
2022-01-24,23.3310489654541
2022-01-25,22.28488540649414
2022-01-26,22.732105255126953
2022-01-27,21.905550003051758
2022-01-28,22.79998016357422
2022-01-31,24.443099975585938
2022-02-01,24.594831466674805
2022-02-02,25.197771072387695
2022-02-03,23.906036376953125
2022-02-04,24.27638816833496
2022-02-07,24.684677124023438
2022-02-08,25.06400489807129
2022-02-09,26.658205032348633
2022-02-10,25.778751373291016
2022-02-11,23.907033920288086
2022-02-14,24.224483489990234
2022-02-15,26.448575973510742
2022-02-16,26.46454620361328
2022-02-17,24.46405792236328
2022-02-18,23.600574493408203
2022-02-22,23.34901237487793
2022-02-23,22.347768783569336
2022-02-24,23.706392288208008
2022-02-25,24.114673614501953
2022-02-28,24.342269897460938
2022-03-01,23.43585968017578
2022-03-02,24.181678771972656
2022-03-03,23.676481246948242
2022-03-04,22.899715423583984
2022-03-07,21.318220138549805
2022-03-08,21.479963302612305
2022-03-09,22.97759246826172
2022-03-10,22.622148513793945
2022-03-11,22.065031051635742
2022-03-14,21.296253204345703
2022-03-15,22.9366512298584
2022-03-16,24.457242965698242
2022-03-17,24.726821899414062
2022-03-18,26.411148071289062
2022-03-21,26.69170379638672
2022-03-22,26.482036590576172
2022-03-23,25.593442916870117
2022-03-24,28.10546112060547
2022-03-25,27.648189544677734
2022-03-28,28.174352645874023
2022-03-29,28.61066246032715
2022-03-30,27.64619255065918
2022-03-31,27.242830276489258
2022-04-01,26.669736862182617
2022-04-04,27.316715240478516
2022-04-05,25.88997459411621
2022-04-06,24.368383407592773
2022-04-07,24.169702529907227
2022-04-08,23.082422256469727
2022-04-11,21.88232421875
2022-04-12,21.46997833251953
2022-04-13,22.16787338256836
2022-04-14,21.224367141723633
2022-04-18,21.748537063598633
2022-04-19,22.162879943847656
2022-04-20,21.448013305664062
2022-04-21,20.15106964111328
2022-04-22,19.48412322998047
2022-04-25,19.870513916015625
2022-04-26,18.758275985717773
2022-04-27,18.385866165161133
2022-04-28,19.750701904296875
2022-04-29,18.517658233642578
2022-05-02,19.50209617614746
2022-05-03,19.570985794067383
2022-05-04,20.30183219909668
2022-05-05,18.814184188842773
2022-05-06,18.64545249938965
2022-05-09,16.923189163208008
2022-05-10,17.56716537475586
2022-05-11,16.603687286376953
2022-05-12,16.1494083404541
2022-05-13,17.67798614501953
2022-05-16,17.23668670654297
2022-05-17,18.148242950439453
2022-05-18,16.91120147705078
2022-05-19,17.096906661987305
2022-05-20,16.667587280273438
2022-05-23,16.871265411376953
2022-05-24,16.12844467163086
2022-05-25,16.948144912719727
2022-05-26,17.822757720947266
2022-05-27,18.78124237060547
2022-05-31,18.642459869384766
2022-06-01,18.291015625
2022-06-02,19.561002731323242
2022-06-03,18.69038200378418
2022-06-06,18.756275177001953
2022-06-07,18.896055221557617
2022-06-08,18.622432708740234
2022-06-09,18.023258209228516
2022-06-10,16.950727462768555
2022-06-13,15.625547409057617
2022-06-14,15.814288139343262
2022-06-15,16.50434112548828
2022-06-16,15.579608917236328
2022-06-17,15.858229637145996
2022-06-21,16.543285369873047
2022-06-22,16.337570190429688
2022-06-23,16.202756881713867
2022-06-24,17.10251808166504
2022-06-27,16.845874786376953
2022-06-28,15.960089683532715
2022-06-29,15.52069091796875
2022-06-30,15.138216972351074
2022-07-01,14.50308609008789
2022-07-05,14.94348430633545
2022-07-06,15.109256744384766
2022-07-07,15.836257934570312
2022-07-08,15.81628704071045
2022-07-11,15.1312255859375
2022-07-12,15.061322212219238
2022-07-13,15.143209457397461
2022-07-14,15.35092544555664
2022-07-15,15.740388870239258
2022-07-18,16.078922271728516
2022-07-19,16.968704223632812
2022-07-20,17.78258514404297
2022-07-21,18.025251388549805
2022-07-22,17.29525375366211
2022-07-25,17.00066375732422
2022-07-26,16.51033592224121
2022-07-27,17.765609741210938
2022-07-28,17.959341049194336
2022-07-29,18.138097763061523
2022-08-01,18.415719985961914
2022-08-02,18.500598907470703
2022-08-03,18.867097854614258
2022-08-04,19.188655853271484
2022-08-05,18.96296501159668
2022-08-08,17.768606185913086
2022-08-09,17.06257438659668
2022-08-10,18.072187423706055
2022-08-11,17.917402267456055
2022-08-12,18.683347702026367
2022-08-15,19.00590705871582
2022-08-16,18.853116989135742
2022-08-17,18.30986213684082
2022-08-18,18.74726104736328
2022-08-19,17.824527740478516
2022-08-22,17.010644912719727
2022-08-23,17.157447814941406
2022-08-24,17.19839096069336
2022-08-25,17.888439178466797
2022-08-26,16.237707138061523
2022-08-29,15.779335975646973
2022-08-30,15.446792602539062
2022-08-31,15.073304176330566
2022-09-01,13.917892456054688
2022-09-02,13.628290176391602
2022-09-06,13.446537971496582
2022-09-07,13.69926643371582
2022-09-08,13.974970817565918
2022-09-09,14.37154483795166
2022-09-12,14.489418029785156
2022-09-13,13.116891860961914
2022-09-14,13.113898277282715
2022-09-15,12.915109634399414
2022-09-16,13.183821678161621
2022-09-19,13.367623329162598
2022-09-20,13.161843299865723
2022-09-21,13.246752738952637
2022-09-22,12.547508239746094
2022-09-23,12.502554893493652
2022-09-26,12.214862823486328
2022-09-27,12.399663925170898
2022-09-28,12.722318649291992
