Date,GOOGL
2022-01-03,144.12713623046875
2022-01-04,143.5386505126953
2022-01-05,136.95361328125
2022-01-06,136.9263153076172
2022-01-07,136.2001495361328
2022-01-10,137.8428192138672
2022-01-11,138.90293884277344
2022-01-12,140.58734130859375
2022-01-13,137.76080322265625
2022-01-14,138.64898681640625
2022-01-18,135.18724060058594
2022-01-19,134.31100463867188
2022-01-20,132.5127716064453
2022-01-21,129.57440185546875
2022-01-24,130.0242156982422
2022-01-25,126.17826843261719
2022-01-26,128.4625701904297
2022-01-27,128.2359161376953
2022-01-28,132.55599975585938
2022-01-31,134.4968719482422
2022-02-01,136.82342529296875
2022-02-02,147.11769104003906
2022-02-03,142.23695373535156
2022-02-04,142.43875122070312
2022-02-07,138.37115478515625
2022-02-08,138.56796264648438
2022-02-09,140.74789428710938
2022-02-10,137.79359436035156
2022-02-11,133.4819793701172
2022-02-14,134.71803283691406
2022-02-15,135.7941131591797
2022-02-16,136.9168701171875
2022-02-17,131.74884033203125
2022-02-18,129.62557983398438
2022-02-22,129.0395965576172
2022-02-23,126.8273696899414
2022-02-24,131.89993286132812
2022-02-25,133.6579132080078
2022-02-28,134.25184631347656
2022-03-01,133.2622833251953
2022-03-02,133.76925659179688
2022-03-03,133.10125732421875
2022-03-04,131.1201171875
2022-03-07,125.62509155273438
2022-03-08,126.34675598144531
2022-03-09,132.62460327148438
2022-03-10,131.64002990722656
2022-03-11,129.0962677001953
2022-03-14,125.20014190673828
2022-03-15,128.4277801513672
2022-03-16,132.48593139648438
2022-03-17,133.04110717773438
2022-03-18,135.31398010253906
2022-03-21,135.2901153564453
2022-03-22,139.03414916992188
2022-03-23,137.45115661621094
2022-03-24,140.72801208496094
2022-03-25,140.82838439941406
2022-03-28,140.61221313476562
2022-03-29,141.6559295654297
2022-03-30,141.09231567382812
2022-03-31,138.2384490966797
2022-04-01,139.3149871826172
2022-04-04,142.1191864013672
2022-04-05,139.75286865234375
2022-04-06,135.73394775390625
2022-04-07,135.07839965820312
2022-04-08,132.49290466308594
2022-04-11,128.05551147460938
2022-04-12,126.95311737060547
2022-04-13,129.11962890625
2022-04-14,125.9744873046875
2022-04-18,126.91535186767578
2022-04-19,129.23394775390625
2022-04-20,127.27667236328125
2022-04-21,124.07040405273438
2022-04-22,118.92228698730469
2022-04-25,122.34027099609375
2022-04-26,117.94265747070312
2022-04-27,113.61312103271484
2022-04-28,117.81591796875
2022-04-29,113.4292221069336
2022-05-02,115.88797760009766
2022-05-03,116.63450622558594
2022-05-04,121.5321273803711
2022-05-05,115.8109359741211
2022-05-06,115.05646514892578
2022-05-09,111.84025573730469
2022-05-10,113.71302032470703
2022-05-11,112.92524719238281
2022-05-12,112.17127227783203
2022-05-13,115.35865783691406
2022-05-16,113.76273345947266
2022-05-17,115.77863311767578
2022-05-18,111.2323989868164
2022-05-19,109.72593688964844
2022-05-20,108.25872802734375
2022-05-23,110.82334899902344
2022-05-24,105.33824920654297
2022-05-25,105.17424011230469
2022-05-26,107.14989471435547
2022-05-27,111.64691162109375
2022-05-31,113.08379364013672
2022-06-01,113.21302032470703
2022-06-02,116.92127227783203
2022-06-03,113.85814666748047
2022-06-06,116.12406921386719
2022-06-07,116.45109558105469
2022-06-08,116.4953384399414
2022-06-09,114.15089416503906
2022-06-10,110.49879455566406
2022-06-13,105.75823211669922
2022-06-14,106.07930755615234
2022-06-15,109.11013793945312
2022-06-16,105.40137481689453
2022-06-17,106.50475311279297
2022-06-21,110.8790283203125
2022-06-22,110.82286071777344
2022-06-23,111.5728530883789
2022-06-24,117.27168273925781
2022-06-27,115.14295196533203
2022-06-28,111.33975982666016
2022-06-29,111.03558349609375
2022-06-30,108.31340026855469
2022-07-01,108.08924865722656
2022-07-05,112.58777618408203
2022-07-06,113.88896942138672
2022-07-07,118.07485961914062
2022-07-08,118.64196014404297
2022-07-11,114.98688507080078
2022-07-12,113.34076690673828
2022-07-13,110.68965148925781
2022-07-14,109.70954132080078
2022-07-15,111.11112976074219
2022-07-18,108.37999725341797
2022-07-19,113.13150787353516
2022-07-20,113.22097778320312
2022-07-21,113.65834045410156
2022-07-22,107.25674438476562
2022-07-25,106.86906433105469
2022-07-26,104.39390563964844
2022-07-27,112.385986328125
2022-07-28,113.53907012939453
2022-07-29,115.62654876708984
2022-08-01,114.17524719238281
2022-08-02,114.44363403320312
2022-08-03,117.37606048583984
2022-08-04,117.48540496826172
2022-08-05,116.76969146728516
2022-08-08,116.6007080078125
2022-08-09,115.9346923828125
2022-08-10,118.98638916015625
2022-08-11,118.13151550292969
2022-08-12,120.95459747314453
2022-08-15,121.35222625732422
2022-08-16,120.97447204589844
2022-08-17,118.83729553222656
2022-08-18,119.45359802246094
2022-08-19,116.51123809814453
2022-08-22,113.55894470214844
2022-08-23,113.18121337890625
2022-08-24,113.01222229003906
2022-08-25,115.95457458496094
2022-08-26,109.68220520019531
2022-08-29,108.7676773071289
2022-08-30,108.2905502319336
2022-08-31,107.57483673095703
2022-09-01,109.08576965332031
2022-09-02,107.20704650878906
2022-09-06,106.17324829101562
2022-09-07,108.7975082397461
2022-09-08,107.73387908935547
2022-09-09,109.99034881591797
2022-09-12,110.19910430908203
2022-09-13,103.6980972290039
2022-09-14,104.37403106689453
2022-09-15,102.29650115966797
2022-09-16,102.18714904785156
2022-09-19,102.4555435180664
2022-09-20,100.53704071044922
2022-09-21,98.6881332397461
2022-09-22,99.54300689697266
2022-09-23,98.15135192871094
2022-09-26,97.58474731445312
2022-09-27,96.91874694824219
2022-09-28,99.45355224609375
2022-09-29,96.83922576904297
2022-09-30,95.07977294921875
2022-10-03,98.05195617675781
2022-10-04,101.03406524658203
2022-10-05,100.8253173828125
2022-10-06,100.81537628173828
2022-10-07,98.09172058105469
2022-10-10,97.27659606933594
2022-10-11,96.60065460205078
2022-10-12,96.9783935546875
2022-10-13,98.46944427490234
2022-10-14,95.98434448242188
2022-10-17,99.3740234375
2022-10-18,100.16925048828125
2022-10-19,99.03604125976562
2022-10-20,99.3740234375
2022-10-21,100.527099609375
2022-10-24,101.9088134765625
2022-10-25,103.85713958740234
2022-10-26,94.36407470703125
2022-10-27,91.67021942138672
2022-10-28,95.7159652709961
2022-10-31,93.94657135009766
2022-11-01,89.93065643310547
2022-11-02,86.45152282714844
2022-11-03,82.93262481689453
2022-11-04,86.06385040283203
2022-11-07,87.96246337890625
2022-11-08,88.3700180053711
2022-11-09,86.79943084716797
2022-11-10,93.37997436523438
2022-11-11,95.83525848388672
2022-11-14,95.12947845458984
2022-11-15,97.8531494140625
2022-11-16,98.26068878173828
