Date,MSFT
2022-01-03,325.03802490234375
2022-01-04,319.464599609375
2022-01-05,307.2010498046875
2022-01-06,304.77362060546875
2022-01-07,304.92889404296875
2022-01-10,305.1523132324219
2022-01-11,305.8416748046875
2022-01-12,309.0361633300781
2022-01-13,295.95703125
2022-01-14,301.2002868652344
2022-01-18,293.8693542480469
2022-01-19,294.52960205078125
2022-01-20,292.849853515625
2022-01-21,287.4414367675781
2022-01-24,287.77154541015625
2022-01-25,280.12017822265625
2022-01-26,288.1017150878906
2022-01-27,291.140869140625
2022-01-28,299.3165588378906
2022-01-31,301.9576721191406
2022-02-01,299.80206298828125
2022-02-02,304.3657531738281
2022-02-03,292.5099792480469
2022-02-04,297.0639343261719
2022-02-07,292.21875
2022-02-08,295.72393798828125
2022-02-09,302.1810302734375
2022-02-10,293.607177734375
2022-02-11,286.48016357421875
2022-02-14,286.4413146972656
2022-02-15,291.7525939941406
2022-02-16,291.4120178222656
2022-02-17,282.8789367675781
2022-02-18,280.15447998046875
2022-02-22,279.9501953125
2022-02-23,272.70135498046875
2022-02-24,286.63470458984375
2022-02-25,289.2812194824219
2022-02-28,290.7212219238281
2022-03-01,286.98492431640625
2022-03-02,292.08343505859375
2022-03-03,287.9287414550781
2022-03-04,282.0323791503906
2022-03-07,271.37811279296875
2022-03-08,268.4007263183594
2022-03-09,280.7091064453125
2022-03-10,277.8777160644531
2022-03-11,272.5067443847656
2022-03-14,268.9748229980469
2022-03-15,279.3955383300781
2022-03-16,286.4400939941406
2022-03-17,287.24761962890625
2022-03-18,292.3169860839844
2022-03-21,291.0812683105469
2022-03-22,295.84893798828125
2022-03-23,291.4023742675781
2022-03-24,295.88787841796875
2022-03-25,295.47918701171875
2022-03-28,302.3096008300781
2022-03-29,306.8923645019531
2022-03-30,305.3842468261719
2022-03-31,299.9841613769531
2022-04-01,301.064208984375
2022-04-04,306.4642639160156
2022-04-05,302.4847412109375
2022-04-06,291.4120178222656
2022-04-07,293.2315979003906
2022-04-08,288.9504089355469
2022-04-11,277.55657958984375
2022-04-12,274.4429931640625
2022-04-13,279.85284423828125
2022-04-14,272.273193359375
2022-04-18,272.94464111328125
2022-04-19,277.5954895019531
2022-04-20,278.6268615722656
2022-04-21,273.226806640625
2022-04-22,266.6298828125
2022-04-25,273.1391906738281
2022-04-26,262.9227294921875
2022-04-27,275.5716857910156
2022-04-28,281.80859375
2022-04-29,270.0256042480469
2022-05-02,276.7879638671875
2022-05-03,274.17059326171875
2022-05-04,282.1491394042969
2022-05-05,269.8601989746094
2022-05-06,267.3110046386719
2022-05-09,257.43505859375
2022-05-10,262.22216796875
2022-05-11,253.51390075683594
2022-05-12,248.4542999267578
2022-05-13,254.06851196289062
2022-05-16,254.438232421875
2022-05-17,259.61456298828125
2022-05-18,247.79440307617188
2022-05-19,246.87767028808594
2022-05-20,246.31202697753906
2022-05-23,254.2018585205078
2022-05-24,253.1973419189453
2022-05-25,256.025634765625
2022-05-26,259.3219909667969
2022-05-27,266.48040771484375
2022-05-31,265.144287109375
2022-06-01,265.68072509765625
2022-06-02,267.78729248046875
2022-06-03,263.340087890625
2022-06-06,262.1015319824219
2022-06-07,265.7586975097656
2022-06-08,263.7204895019531
2022-06-09,258.239501953125
2022-06-10,246.73138427734375
2022-06-13,236.26681518554688
2022-06-14,238.44168090820312
2022-06-15,245.53179931640625
2022-06-16,238.9097900390625
2022-06-17,241.52346801757812
2022-06-21,247.46282958984375
2022-06-22,246.867919921875
2022-06-23,252.4561767578125
2022-06-24,261.0774841308594
2022-06-27,258.3370056152344
2022-06-28,250.1350860595703
2022-06-29,253.82156372070312
2022-06-30,250.4763641357422
2022-07-01,253.1583709716797
2022-07-05,256.3475341796875
2022-07-06,259.62432861328125
2022-07-07,261.76019287109375
2022-07-08,261.0384521484375
2022-07-11,257.9664001464844
2022-07-12,247.39456176757812
2022-07-13,246.46803283691406
2022-07-14,247.79440307617188
2022-07-15,250.36911010742188
2022-07-18,247.960205078125
2022-07-19,253.10960388183594
2022-07-20,255.78176879882812
2022-07-21,258.2882080078125
2022-07-22,253.9190216064453
2022-07-25,252.42694091796875
2022-07-26,245.66835021972656
2022-07-27,262.0917663574219
2022-07-28,269.57196044921875
2022-07-29,273.7948913574219
2022-08-01,271.1324768066406
2022-08-02,268.0213623046875
2022-08-03,275.4820861816406
2022-08-04,276.63287353515625
2022-08-05,275.91119384765625
2022-08-08,273.3852844238281
2022-08-09,275.3163146972656
2022-08-10,282.0066223144531
2022-08-11,279.9195556640625
2022-08-12,284.6885681152344
2022-08-15,286.2099914550781
2022-08-16,285.46875
2022-08-17,284.7162170410156
2022-08-18,283.5922546386719
2022-08-19,279.6634216308594
2022-08-22,271.4538269042969
2022-08-23,270.17352294921875
2022-08-24,269.53826904296875
2022-08-25,272.5289001464844
2022-08-26,262.0128173828125
2022-08-29,259.2176513671875
2022-08-30,257.00885009765625
2022-08-31,255.54286193847656
2022-09-01,254.49708557128906
2022-09-02,250.25552368164062
2022-09-06,247.5092010498047
2022-09-07,252.23947143554688
2022-09-08,252.6597442626953
2022-09-09,258.4651184082031
2022-09-12,260.60546875
2022-09-13,246.27777099609375
2022-09-14,246.50254821777344
2022-09-15,239.8175811767578
2022-09-16,239.1920928955078
2022-09-19,238.9771270751953
2022-09-20,236.95401000976562
2022-09-21,233.5333709716797
2022-09-22,235.51734924316406
2022-09-23,232.52671813964844
2022-09-26,232.0673370361328
2022-09-27,231.05093383789062
2022-09-28,235.60533142089844
2022-09-29,232.11624145507812
2022-09-30,227.6204833984375
