Date,AAPL
2022-01-03,178.64566040039062
2022-01-04,176.3783416748047
2022-01-05,171.6866912841797
2022-01-06,168.82066345214844
2022-01-07,168.98753356933594
2022-01-10,169.00718688964844
2022-01-11,171.84376525878906
2022-01-12,172.28543090820312
2022-01-13,169.00718688964844
2022-01-14,169.8708953857422
2022-01-18,166.6613311767578
2022-01-19,163.1573486328125
2022-01-20,161.4691619873047
2022-01-21,159.407958984375
2022-01-24,158.63255310058594
2022-01-25,156.82656860351562
2022-01-26,156.7382354736328
2022-01-27,156.27688598632812
2022-01-28,167.1815185546875
2022-01-31,171.54928588867188
2022-02-01,171.3824462890625
2022-02-02,172.58969116210938
2022-02-03,169.7040252685547
2022-02-04,169.41903686523438
2022-02-07,168.7016143798828
2022-02-08,171.8170166015625
2022-02-09,173.24200439453125
2022-02-10,169.15370178222656
2022-02-11,165.73367309570312
2022-02-14,165.96954345703125
2022-02-15,169.8121337890625
2022-02-16,169.57630920410156
2022-02-17,165.96954345703125
2022-02-18,164.416748046875
2022-02-22,161.48812866210938
2022-02-23,157.31138610839844
2022-02-24,159.9353485107422
2022-02-25,162.00897216796875
2022-02-28,162.27432250976562
2022-03-01,160.38742065429688
2022-03-02,163.6895294189453
2022-03-03,163.3651885986328
2022-03-04,160.35797119140625
2022-03-07,156.5546112060547
2022-03-08,154.72671508789062
2022-03-09,160.1417236328125
2022-03-10,155.78805541992188
2022-03-11,152.06338500976562
2022-03-14,148.0242156982422
2022-03-15,152.4171905517578
2022-03-16,156.83963012695312
2022-03-17,157.85186767578125
2022-03-18,161.1539764404297
2022-03-21,162.52984619140625
2022-03-22,165.9105682373047
2022-03-23,167.27664184570312
2022-03-24,171.07009887695312
2022-03-25,171.70887756347656
2022-03-28,172.57371520996094
2022-03-29,175.87582397460938
2022-03-30,174.70632934570312
2022-03-31,171.60079956054688
2022-04-01,171.30593872070312
2022-04-04,175.3647918701172
2022-04-05,172.04302978515625
2022-04-06,168.86868286132812
2022-04-07,169.17333984375
2022-04-08,167.15867614746094
2022-04-11,162.89349365234375
2022-04-12,164.7705535888672
2022-04-13,167.4633331298828
2022-04-14,162.44140625
2022-04-18,162.22520446777344
2022-04-19,164.51502990722656
2022-04-20,164.34793090820312
2022-04-21,163.5519561767578
2022-04-22,159.00173950195312
2022-04-25,160.07290649414062
2022-04-26,154.09768676757812
2022-04-27,153.8717041015625
2022-04-28,160.81985473632812
2022-04-29,154.9330596923828
2022-05-02,155.23776245117188
2022-05-03,156.73153686523438
2022-05-04,163.15882873535156
2022-05-05,154.06825256347656
2022-05-06,154.79656982421875
2022-05-09,149.65899658203125
2022-05-10,152.07032775878906
2022-05-11,144.18675231933594
2022-05-12,140.30899047851562
2022-05-13,144.7871551513672
2022-05-16,143.24191284179688
2022-05-17,146.88351440429688
2022-05-18,138.59649658203125
2022-05-19,135.18124389648438
2022-05-20,135.41744995117188
2022-05-23,140.8502655029297
2022-05-24,138.14370727539062
2022-05-25,138.30117797851562
2022-05-26,141.5097198486328
2022-05-27,147.27719116210938
2022-05-31,146.48980712890625
2022-06-01,146.36187744140625
2022-06-02,148.82241821289062
2022-06-03,143.08445739746094
2022-06-06,143.83245849609375
2022-06-07,146.36187744140625
2022-06-08,145.62371826171875
2022-06-09,140.38772583007812
2022-06-10,134.96473693847656
2022-06-13,129.797607421875
2022-06-14,130.66372680664062
2022-06-15,133.29156494140625
2022-06-16,128.00634765625
2022-06-17,129.482666015625
2022-06-21,133.724609375
2022-06-22,133.21282958984375
2022-06-23,136.08673095703125
2022-06-24,139.42320251464844
2022-06-27,139.42320251464844
2022-06-28,135.2698211669922
2022-06-29,137.03158569335938
2022-06-30,134.5612030029297
2022-07-01,136.73629760742188
2022-07-05,139.32476806640625
2022-07-06,140.6632843017578
2022-07-07,144.03915405273438
2022-07-08,144.71823120117188
2022-07-11,142.58251953125
2022-07-12,143.55686950683594
2022-07-13,143.19273376464844
2022-07-14,146.12564086914062
2022-07-15,147.79881286621094
2022-07-18,144.74778747558594
2022-07-19,148.61572265625
2022-07-20,150.62347412109375
2022-07-21,152.8970184326172
2022-07-22,151.65692138671875
2022-07-25,150.534912109375
2022-07-26,149.20626831054688
2022-07-27,154.3142547607422
2022-07-28,154.865478515625
2022-07-29,159.94393920898438
2022-08-01,158.9597625732422
2022-08-02,157.4834442138672
2022-08-03,163.50682067871094
2022-08-04,163.19186401367188
2022-08-05,162.96519470214844
2022-08-08,162.49209594726562
2022-08-09,162.5413818359375
2022-08-10,166.79908752441406
2022-08-11,166.05987548828125
2022-08-12,169.61785888671875
2022-08-15,170.6920928955078
2022-08-16,170.534423828125
2022-08-17,172.03248596191406
2022-08-18,171.63827514648438
2022-08-19,169.0461883544922
2022-08-22,165.15313720703125
2022-08-23,164.8180389404297
2022-08-24,165.11375427246094
2022-08-25,167.57766723632812
2022-08-26,161.2601318359375
2022-08-29,159.0524139404297
2022-08-30,156.6180877685547
2022-08-31,154.9524383544922
2022-09-01,155.68177795410156
2022-09-02,153.56275939941406
2022-09-06,152.3012237548828
2022-09-07,153.7106170654297
2022-09-08,152.23223876953125
2022-09-09,155.10028076171875
2022-09-12,161.0728759765625
2022-09-13,151.62118530273438
2022-09-14,153.06997680664062
2022-09-15,150.17237854003906
2022-09-16,148.5264892578125
2022-09-19,152.251953125
2022-09-20,154.63705444335938
2022-09-21,151.50289916992188
2022-09-22,150.53707885742188
2022-09-23,148.26036071777344
2022-09-26,148.595458984375
2022-09-27,149.57118225097656
2022-09-28,147.67886352539062
2022-09-29,140.42503356933594
